ID,Country,Fulfill Via,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Brand,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
3787,South Africa,Direct Drop,Truck,2009-05-15,2009-05-04,2009-05-04,ARV,Pediatric,S. BUYS WHOLESALER,"Zidovudine 100mg [Retrovir], capsules, 100 Caps",Retrovir,Capsule,100,30.0,371.1,12.37,0.12,GSK Crawley,Yes,,,0.73
3808,Kenya,Direct Drop,Air,2009-08-07,2009-08-28,2009-08-28,HRDT,Hiv Test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,Test kit,100,7500.0,600000.0,80.0,0.8,Inverness Japan,Yes,2215.0,17974.65,1176.0
3828,Rwanda,Direct Drop,Air,2009-09-21,2009-09-21,2009-09-21,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Generic,Tablet - FDC,60,54432.0,641753.28,11.79,0.2,Mylan (formerly Matrix) Nashik,Yes,7278.0,61925.7,1257.84
3839,Namibia,Direct Drop,Air,2009-05-20,2009-05-20,2009-05-20,HRDT,Hiv Test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,Test kit,100,180.0,12600.0,70.0,0.7,Inverness Japan,Yes,43.0,2760.11,24.7
3840,Côte D'Ivoire,Direct Drop,Air,2009-08-11,2009-08-11,2009-08-11,ARV,Adult,GLAXOSMITHKLINE EXPORT LIMITED,"Abacavir/Lamivudine/Zidovudine 300/150/300mg [Trizivir], tablets, 60 Tabs",Trizivir,Tablet - FDC,60,2048.0,109998.08,53.71,0.9,GSK Ware (UK),Yes,,,215.6
3846,Vietnam,Direct Drop,Air,,2009-07-21,2009-07-21,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Generic,Tablet - FDC,60,35616.0,240408.0,6.75,0.11,"Cipla, Goa, India",Yes,3479.0,10048.1,471.2
3848,Vietnam,Direct Drop,Air,2009-08-03,2009-08-03,2009-08-03,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Generic,Tablet,30,6552.0,42588.0,6.5,0.22,Mylan (formerly Matrix) Nashik,Yes,524.0,4453.71,83.47
3851,Vietnam,Direct Drop,Air,2009-07-10,2009-07-10,2009-07-10,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Generic,Capsule,60,15960.0,23142.0,1.45,0.02,"Aurobindo Unit III, India",Yes,1815.0,9931.49,45.36
3852,Vietnam,Direct Drop,Air,2009-07-10,2009-07-10,2009-07-10,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Generic,Tablet - FDC,60,3500.0,39025.0,11.15,0.19,"Aurobindo Unit III, India",No,,,76.49
3870,Botswana,Direct Drop,Air,2009-06-12,2009-06-12,2009-06-12,HRDT,Hiv Test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",OraQuick,Test kit,100,1.0,350.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,3.0,597.43,0.69
3880,Vietnam,Direct Drop,Air,2009-07-23,2009-07-23,2009-07-23,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Videx,Chewable/dispersible tablet,60,120.0,840.0,7.0,0.12,"BMS Meymac, France",Yes,,,1.65
3894,South Africa,Direct Drop,Truck,2009-10-12,2009-07-21,2009-07-21,ARV,Adult,S. BUYS WHOLESALER,"Nevirapine 200mg [Viramune], tablets, 60 Tabs",Viramune,Tablet,60,360.0,7041.6,19.56,0.33,"Boehringer Ing., Koropi, GR",Yes,,,13.8
3895,South Africa,Direct Drop,Truck,2009-10-12,2009-07-21,2009-07-21,ARV,Adult,S. BUYS WHOLESALER,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Videx EC,Delayed-release capsules - blister,30,40.0,678.8,16.97,0.57,"BMS Meymac, France",No,,,1.33
3896,South Africa,Direct Drop,Truck,2009-10-12,2009-07-28,2009-07-28,ARV,Adult,S. BUYS WHOLESALER,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",Retrovir,Tablet,60,200.0,3136.0,15.68,0.26,GSK Ware (UK),No,,,6.15
3897,South Africa,Direct Drop,Truck,2009-10-12,2009-07-28,2009-07-28,ARV,Pediatric,S. BUYS WHOLESALER,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Generic,Oral suspension,240,30.0,328.2,10.94,0.05,"Aurobindo Unit III, India",No,,,0.64
3898,South Africa,Direct Drop,Truck,2009-10-12,2009-07-28,2009-07-28,ARV,Adult,S. BUYS WHOLESALER,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Invirase,Capsule,270,30.0,2298.0,76.6,0.28,Roche Basel,No,,,4.5
3899,South Africa,Direct Drop,Truck,2009-09-08,2009-08-31,2009-08-31,ARV,Adult,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Viread,Tablet,30,300.0,7440.0,24.8,0.83,"Aspen-OSD, Port Elizabeth, SA",Yes,,,14.58
3926,Côte D'Ivoire,Direct Drop,Air,2006-05-10,2006-05-10,2006-05-10,HRDT,Hiv Test,OMEGA DIAGNOSTICS LTD,"HIV 1/2, Visitect Kit, 25 Tests",Visitect,Test kit,25,44.0,1375.0,31.25,1.25,"OMEGA Diagnostics, UK",Yes,15.0,633.73,
3955,Uganda,Direct Drop,Air,2006-12-21,2006-12-21,2006-12-21,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Generic,Tablet - FDC,60,5080.0,55880.0,11.0,0.18,"Aurobindo Unit III, India",Yes,1172.0,5595.44,
3956,Vietnam,Direct Drop,Air,2007-03-27,2007-03-27,2007-03-27,ARV,Adult,Hoffmann-La Roche ltd Basel,"Nelfinavir (as mesilate) 250mg [Viracept], tablets, 270 Tabs",Viracept,Tablet,270,200.0,32688.0,163.44,0.61,Roche Madrid,Yes,54.0,13981.96,
3970,Rwanda,Direct Drop,Air,2007-01-17,2007-01-17,2007-01-17,HRDT,Hiv Test,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests",First Response,Test kit,30,2000.0,42000.0,21.0,0.7,Premier Med. Corp Ltd. India,Yes,600.0,5714.31,
3971,Rwanda,Direct Drop,Air,2007-01-25,2007-03-09,2007-03-09,HRDT,Hiv Test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,Test kit,20,500.0,20000.0,40.0,2.0,"Trinity Biotech, Plc",Yes,173.0,17928.53,
3972,Zambia,Direct Drop,Air,2006-11-20,2006-11-20,2006-11-20,HRDT,Hiv Test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,Test kit,100,2500.0,200000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,857354.0,5157.65,
3976,Zambia,Direct Drop,Air,2007-02-20,2007-02-20,2007-02-20,HRDT,Hiv Test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",Bioline,Test kit,25,400.0,8000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,134.0,963.73,
3989,Haiti,Direct Drop,Air,2007-05-08,2007-05-08,2007-05-08,HRDT,Hiv Test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests",Capillus,Test kit,100,125.0,17375.0,139.0,1.39,"Trinity Biotech, Plc",Yes,78.0,4702.79,
3992,Nigeria,Direct Drop,Air,2007-06-19,2007-08-06,2007-08-06,HRDT,Hiv Test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,Test kit,100,1500.0,120000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,512.0,3906.29,192.0
4020,Vietnam,Direct Drop,Air,2007-10-02,2007-10-02,2007-10-02,ARV,Adult,Aurobindo Pharma Limited,"Abacavir 300mg, tablets, 60 Tabs",Generic,Tablet,60,1500.0,41475.0,27.65,0.46,"Aurobindo Unit III, India",No,,,66.36
4021,Vietnam,Direct Drop,Air,2007-09-10,2007-09-10,2007-09-10,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Aluvia,Tablet,120,1000.0,82190.0,82.19,0.68,ABBVIE Ludwigshafen Germany,Yes,226.0,2923.46,131.5
4023,Guyana,Direct Drop,Air,2007-08-09,2007-08-09,2007-08-09,HRDT,Hiv Test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,Test kit - Ancillary,100,300.0,3.0,0.01,0.0,Inverness Japan,Yes,,,0.0
4025,Côte D'Ivoire,Direct Drop,Air,2007-08-27,2007-08-27,2007-08-27,ARV,Adult,BRISTOL-MYERS SQUIBB,"Stavudine 20mg [Zerit], capsules, 60 Caps",Zerit,Capsule,60,1161.0,6548.04,5.64,0.09,"BMS Meymac, France",Yes,,,10.48
4044,Tanzania,Direct Drop,Air,2007-10-16,2007-10-16,2007-10-16,HRDT,Hiv Test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",Bioline,Test kit,25,10000.0,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3338.0,28466.06,320.0
4045,Tanzania,Direct Drop,Air,2008-11-19,2008-11-19,2008-11-19,HRDT,Hiv Test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",Bioline,Test kit,25,10000.0,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3112.0,22856.02,392.0
4085,Guyana,Direct Drop,Air,2007-09-21,2007-09-21,2007-09-21,HRDT,Hiv Test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,Test kit - Ancillary,100,442.0,4.42,0.01,0.0,Inverness Japan,Yes,,,0.01
4100,Côte D'Ivoire,Direct Drop,Air,2007-10-25,2007-10-25,2007-10-25,HRDT,Hiv Test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Stat-Pak,Test kit,20,250.0,6750.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,68.0,1711.86,10.8
4189,South Africa,Direct Drop,,2008-01-29,2008-01-29,2008-01-29,ARV,Adult,"JSI R&T INSTITUTE, INC.","Zidovudine 300mg [Retrovir], tablets, 60 Tabs",Retrovir,Tablet,60,800.0,15408.0,19.26,0.32,GSK Aranda,No,,,24.65
4190,South Africa,Direct Drop,,2008-01-29,2007-01-24,2008-01-24,ARV,Adult,"JSI R&T INSTITUTE, INC.","Stavudine 30mg [Zerit], capsules, 60 Caps",Zerit,Capsule,60,800.0,4792.0,5.99,0.1,"BMS Meymac, France",Yes,,,7.67
4192,Rwanda,Direct Drop,Air,2008-01-10,2008-01-10,2008-01-10,HRDT,Hiv Test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,Test kit,20,2450.0,78400.0,32.0,1.6,"Trinity Biotech, Plc",No,,,125.44
4193,Rwanda,Direct Drop,Air,2008-04-28,2008-04-22,2008-04-22,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Generic,Tablet - FDC,60,38784.0,271488.0,7.0,0.12,"Cipla, Goa, India",Yes,4124.0,10500.0,434.38
4198,Vietnam,Direct Drop,Air,2008-01-22,2008-03-07,2008-03-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Aluvia,Tablet,120,2000.0,164400.0,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,513.0,5866.31,263.04
4215,Vietnam,Direct Drop,Air,2008-01-22,2008-01-22,2008-01-22,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 20mg, capsules, 60 Caps",Generic,Capsule,60,800.0,1400.0,1.75,0.03,"Aurobindo Unit III, India",No,,,2.24
4257,South Africa,Direct Drop,,2008-01-21,2008-01-04,2008-01-04,ARV,Adult,"JSI R&T INSTITUTE, INC.","Nevirapine 200mg [Viramune], tablets, 60 Tabs",Viramune,Tablet,60,100.0,2318.0,23.18,0.39,"BI, Ingelheim, Germany",No,,,3.71
4258,South Africa,Direct Drop,,2008-01-21,2008-01-04,2008-01-04,ARV,Adult,"JSI R&T INSTITUTE, INC.","Zidovudine 300mg [Retrovir], tablets, 60 Tabs",Retrovir,Tablet,60,800.0,13960.0,17.45,0.29,GSK Aranda,No,,,22.34
4259,South Africa,Direct Drop,,2008-01-21,2008-01-04,2008-01-04,ARV,Pediatric,"JSI R&T INSTITUTE, INC.","Lamivudine 10mg/ml [Epivir], oral solution, Bottle, 240 ml",Epivir,Oral solution,240,300.0,2049.0,6.83,0.03,GSK Mississauga (Canada),No,,,3.28
4283,Haiti,Direct Drop,Air,2008-04-11,2008-04-11,2008-04-11,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Generic,Tablet,60,180.0,1850.4,10.28,0.17,ABBVIE Ludwigshafen Germany,Yes,0.0,910.86,2.96
4290,South Africa,Direct Drop,Truck,2008-02-05,2008-02-04,2008-02-04,ARV,Adult,"JSI R&T INSTITUTE, INC.","Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Videx EC,Delayed-release capsules - blister,30,800.0,21720.0,27.15,0.9,"BMS Meymac, France",Yes,,,34.75
4301,Zambia,Direct Drop,Air,2008-06-06,2008-06-06,2008-06-06,HRDT,Hiv Test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,Test kit,100,4300.0,309557.0,71.99,0.72,Inverness Japan,Yes,,8690.26,495.29
4302,Côte D'Ivoire,Direct Drop,Air,2008-04-14,2008-04-17,2008-04-17,HRDT,Hiv Test,BIO-RAD LABORATORIES (FRANCE),"HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",Genie,Test kit,40,476.0,36176.0,76.0,1.9,Bio-Rad Laboratories,Yes,522.0,6924.83,57.88
4303,Rwanda,Direct Drop,Air,2008-07-11,2008-07-11,2008-07-11,HRDT,Hiv Test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,Test kit,20,3150.0,100800.0,32.0,1.6,"Trinity Biotech, Plc",Yes,1080.0,15987.05,161.28
4311,Côte D'Ivoire,Direct Drop,Air,2008-09-26,2008-09-26,2008-09-26,HRDT,Hiv Test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,Test kit,100,1116.0,78120.0,70.0,0.7,Inverness Japan,Yes,256.0,4014.57,124.99
4312,Guyana,Direct Drop,Air,2008-07-21,2008-07-21,2008-07-21,HRDT,Hiv Test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,Test kit,20,1062.0,33984.0,32.0,1.6,"Trinity Biotech, Plc",Yes,362.0,4717.51,54.37
4321,Botswana,Direct Drop,Air,2008-06-23,2008-06-23,2008-06-23,HRDT,Hiv Test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,Test kit - Ancillary,100,200.0,2.0,0.01,0.0,Inverness Japan,Yes,,,0.0
4331,Kyrgyzstan,Direct Drop,Air,2008-06-14,2008-06-14,2008-06-14,HRDT,Hiv Test,"Orgenics, Ltd","HIV 1/2, DoubleCheck II Kit, 40 Tests",DoubleCheck,Test kit,40,500.0,39500.0,79.0,1.98,Not Applicable,Yes,,,63.2
4333,Namibia,Direct Drop,Air,2008-06-04,2008-06-04,2008-06-04,HRDT,Hiv Test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,Test kit - Ancillary,100,142.0,1.42,0.01,0.0,Inverness Japan,Yes,,,0.0
4347,South Africa,Direct Drop,Truck,2008-04-24,2008-04-24,2008-04-24,ARV,Pediatric,S. BUYS WHOLESALER,"Lamivudine 10mg/ml [Epivir], oral solution, Bottle, 240 ml",Epivir,Oral solution,240,1000.0,6410.0,6.41,0.03,GSK Mississauga (Canada),No,,,10.26
4367,Vietnam,Direct Drop,Air,2008-07-07,2008-07-07,2008-07-07,ARV,Pediatric,Aurobindo Pharma Limited,"Didanosine 100mg, chewable/dispersible tablets, 60 Tabs",Generic,Chewable/dispersible tablet,60,408.0,3162.0,7.75,0.13,"Aurobindo Unit III, India",No,,,5.06
4368,Vietnam,Direct Drop,Air,2008-08-12,2008-08-12,2008-08-12,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Generic,Tablet - FDC,60,10420.0,77108.0,7.4,0.12,"Cipla, Goa, India",Yes,1000.0,7526.06,123.37
4369,Vietnam,Direct Drop,Air,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Generic,Tablet - FDC,60,9600.0,71040.0,7.4,0.12,"Cipla, Goa, India",Yes,920.0,7265.05,113.66
4372,Vietnam,Direct Drop,Air,2008-07-16,2008-07-16,2008-07-16,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Aluvia,Tablet,120,1520.0,124944.0,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,385.0,4393.32,199.91
4373,Vietnam,Direct Drop,Air,2008-07-14,2008-07-14,2008-07-14,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Aluvia,Tablet,120,800.0,65760.0,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,208.0,3449.4,105.22
4432,Haiti,Direct Drop,Air,2008-04-18,2008-01-03,2008-01-03,HRDT,Hiv Test,REINBOLD EXPORT IMPORT,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,Test kit,100,30.0,2550.0,85.0,0.85,Inverness Japan,Yes,,,4.08
4456,Vietnam,Direct Drop,Air,2008-10-11,2008-10-11,2008-10-11,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Generic,Tablet - FDC,60,15360.0,113664.0,7.4,0.12,"Cipla, Goa, India",Yes,1360.0,5412.14,181.86
4457,Vietnam,Direct Drop,Air,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Generic,Tablet,60,2180.0,6997.8,3.21,0.05,"Aurobindo Unit III, India",Yes,242.0,5881.57,11.2
4458,Vietnam,Direct Drop,Air,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Generic,Tablet - FDC,60,2016.0,18648.0,9.25,0.15,"Aurobindo Unit III, India",Yes,185.0,5551.97,29.84
4459,Vietnam,Direct Drop,Air,2008-09-30,2008-09-30,2008-09-30,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Videx,Chewable/dispersible tablet,60,400.0,2800.0,7.0,0.12,"BMS Meymac, France",Yes,81.0,2035.66,4.48
4460,Vietnam,Direct Drop,Air,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Generic,Tablet,30,10080.0,103219.2,10.24,0.34,Mylan (formerly Matrix) Nashik,No,,,165.15
4461,South Africa,Direct Drop,Truck,2008-08-20,2008-05-08,2008-05-08,ARV,Pediatric,S. BUYS WHOLESALER,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Videx,Chewable/dispersible tablet,60,4.0,52.96,13.24,0.22,"BMS Meymac, France",No,,,0.08
4470,Haiti,Direct Drop,Air,2008-08-06,2008-08-06,2008-08-06,HRDT,Hiv Test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,Test kit,100,2059.0,144130.0,70.0,0.7,Inverness Japan,Yes,470.0,3684.28,230.61
4531,South Africa,Direct Drop,Truck,2008-06-12,2008-06-09,2008-06-09,ARV,Adult,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Viread,Tablet,30,400.0,9536.0,23.84,0.79,"Aspen-OSD, Port Elizabeth, SA",No,,,15.26
4534,Zambia,Direct Drop,Air,2008-11-18,2008-11-18,2008-11-18,HRDT,Hiv Test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,Test kit,20,5900.0,188800.0,32.0,1.6,"Trinity Biotech, Plc",Yes,1989.0,19569.48,370.05
4567,Tanzania,Direct Drop,Air,2008-11-03,2008-11-03,2008-11-03,ARV,Adult,BRISTOL-MYERS SQUIBB,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Videx EC,Delayed-release capsules - blister,30,2597.0,61470.99,23.67,0.79,"BMS Meymac, France",Yes,,,120.48
4593,Zambia,Direct Drop,Air,2008-09-22,2008-09-22,2008-09-22,HRDT,Hiv Test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,Test kit,100,3000.0,215970.0,71.99,0.72,Inverness Japan,No,,,345.55
4594,Guyana,Direct Drop,Air,2008-10-01,2008-10-01,2008-10-01,HRDT,Hiv Test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,Test kit,20,1062.0,33984.0,32.0,1.6,"Trinity Biotech, Plc",Yes,1062.0,3976.33,54.37
4611,Botswana,Direct Drop,Air,2008-11-18,2008-11-18,2008-11-18,HRDT,Hiv Test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,Test kit,20,5.0,160.0,32.0,1.6,"Trinity Biotech, Plc",Yes,3.0,1225.17,0.26
4615,Botswana,Direct Drop,Air,2008-10-09,2008-10-02,2008-10-02,HRDT,Hiv Test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,Test kit,100,8.0,560.0,70.0,0.7,Inverness Japan,Yes,5406.0,559.95,0.9
4635,Vietnam,Direct Drop,Air,2008-09-25,2008-09-25,2008-09-25,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Generic,Tablet,60,1848.0,5359.2,2.9,0.05,"Aurobindo Unit III, India",Yes,327.0,3171.36,8.57
4646,Nigeria,Direct Drop,Air,2008-08-27,2008-08-27,2008-08-27,HRDT,Hiv Test,BUNDI INTERNATIONAL DIAGNOSTICS LTD,"HIV 1/2, Bundi Rapid HIV Kit, 25 Tests",Bundi,Test kit,1,1369.0,51337.5,37.5,37.5,BUNDI INTERNATIONAL DIAGNOSTICS LTD,Yes,,,100.62
4647,Ethiopia,Direct Drop,Air,2008-11-17,2008-11-17,2008-11-17,HRDT,Hiv Test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests",Colloidal Gold,Test kit,1,7002.0,161046.0,23.0,23.0,"KHB Test Kit Facility, Shanghai China",Yes,4922.0,46117.09,315.65
4648,Ethiopia,Direct Drop,Air,2008-10-30,2008-10-28,2008-10-28,HRDT,Hiv Test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests",Colloidal Gold,Test kit,1,7002.0,161046.0,23.0,23.0,"KHB Test Kit Facility, Shanghai China",Yes,5057.0,44360.44,315.65
4649,Ethiopia,Direct Drop,Air,2008-10-06,2008-10-06,2008-10-06,HRDT,Hiv Test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests",Colloidal Gold,Test kit,1,7002.0,161046.0,23.0,23.0,"KHB Test Kit Facility, Shanghai China",Yes,5057.0,44347.71,257.67
4650,Mozambique,Direct Drop,,2008-11-01,2008-11-01,2008-11-01,HRDT,Hiv Test - Ancillary,,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,Test kit - Ancillary,100,7690.0,76.9,0.01,0.0,Inverness Japan,Yes,2278.0,23743.01,0.15
4709,Rwanda,Direct Drop,Air,2009-03-10,2009-03-10,2009-03-10,ARV,Adult,CIPLA LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Generic,Tablet - FDC,60,18560.0,168896.0,9.1,0.15,"Cipla, Goa, India",Yes,1698.0,16414.22,331.04
4722,Namibia,Direct Drop,Air,2008-10-08,2008-10-08,2008-10-08,HRDT,Hiv Test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,Test kit,20,650.0,20800.0,32.0,1.6,"Trinity Biotech, Plc",Yes,220.0,7078.9,33.28
4794,Zambia,Direct Drop,Air,2009-02-20,2009-02-20,2009-02-20,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Videx,Chewable/dispersible tablet,60,545.0,3815.0,7.0,0.12,"BMS Meymac, France",Yes,,,7.48
4798,South Africa,Direct Drop,Truck,2009-05-17,2008-10-09,2008-10-09,ARV,Pediatric,S. BUYS WHOLESALER,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",Stocrin/Sustiva,Capsule,30,200.0,592.0,2.96,0.1,"MSD Midrand, J'burg, SA",No,,,1.16
4804,Tanzania,Direct Drop,Air,2009-03-02,2009-03-02,2009-03-02,HRDT,Hiv Test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,Test kit,20,1678.0,53696.0,32.0,1.6,"Trinity Biotech, Plc",Yes,554.0,4810.99,105.24
4818,Ethiopia,Direct Drop,Air,2009-01-27,2009-01-27,2009-01-27,HRDT,Hiv Test - Ancillary,"Orgenics, Ltd","Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",Determine,Test kit - Ancillary,100,10000.0,80000.0,8.0,0.08,Inverness Japan,Yes,400.0,4856.14,156.8
